*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Mar 31 2025 20:14:32
*************************************************
parsing config file: /data3/config/dspatch.ini

trace_0 /data3/STREAMING/traces/streaming_phase3_core0.trace.xz
trace_1 /data3/STREAMING/traces/streaming_phase3_core1.trace.xz
trace_2 /data3/STREAMING/traces/streaming_phase3_core2.trace.xz
trace_3 /data3/STREAMING/traces/streaming_phase3_core3.trace.xz
adding L2C_PREFETCHER: DSPatch
adding L2C_PREFETCHER: DSPatch
adding L2C_PREFETCHER: DSPatch
adding L2C_PREFETCHER: DSPatch
Initialize SHIP state
warmup_instructions 50000000
simulation_instructions 150000000
champsim_seed 8858
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 4
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 2
log2_dram_channels 1
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 8192
dram_pages 2097152

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 8192
llc_set 8192
llc_way 16
llc_rq_size 128
llc_wq_size 128
llc_pq_size 128
llc_mshr_size 256
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13

dspatch_log2_region_size 11
dspatch_num_cachelines_in_region 32
dspatch_pb_size 64
dspatch_num_spt_entries 256
dspatch_compression_granularity 2
dspatch_pred_throttle_bw_thr 3
dspatch_bitmap_selection_policy 3
dspatch_sig_type 1
dspatch_sig_hash_type 2
dspatch_or_count_max 3
dspatch_measure_covP_max 3
dspatch_measure_accP_max 3
dspatch_acc_thr 50
dspatch_cov_thr 50
dspatch_enable_pref_buffer 1
dspatch_pref_buffer_size 256
dspatch_pref_degree 4


Heartbeat CPU  3 instructions:    1000000 cycles:     640406 heartbeat IPC: 1.56151 cumulative IPC: 1.56151 (Simulation time: 0 hr 0 min 7 sec) 
Heartbeat CPU  0 instructions:    1000000 cycles:     656570 heartbeat IPC: 1.52307 cumulative IPC: 1.52307 (Simulation time: 0 hr 0 min 7 sec) 
Heartbeat CPU  1 instructions:    1000001 cycles:     672966 heartbeat IPC: 1.48596 cumulative IPC: 1.48596 (Simulation time: 0 hr 0 min 7 sec) 
Heartbeat CPU  2 instructions:    1000000 cycles:     762299 heartbeat IPC: 1.31182 cumulative IPC: 1.31182 (Simulation time: 0 hr 0 min 8 sec) 
Heartbeat CPU  3 instructions:    2000000 cycles:    1207392 heartbeat IPC: 1.76371 cumulative IPC: 1.65646 (Simulation time: 0 hr 0 min 14 sec) 
Heartbeat CPU  1 instructions:    2000001 cycles:    1219863 heartbeat IPC: 1.82850 cumulative IPC: 1.63953 (Simulation time: 0 hr 0 min 14 sec) 
Heartbeat CPU  0 instructions:    2000002 cycles:    1223513 heartbeat IPC: 1.76385 cumulative IPC: 1.63464 (Simulation time: 0 hr 0 min 14 sec) 
Heartbeat CPU  2 instructions:    2000002 cycles:    1394847 heartbeat IPC: 1.58091 cumulative IPC: 1.43385 (Simulation time: 0 hr 0 min 16 sec) 
Heartbeat CPU  1 instructions:    3000003 cycles:    1740761 heartbeat IPC: 1.91977 cumulative IPC: 1.72339 (Simulation time: 0 hr 0 min 21 sec) 
Heartbeat CPU  3 instructions:    3000002 cycles:    1749340 heartbeat IPC: 1.84520 cumulative IPC: 1.71493 (Simulation time: 0 hr 0 min 21 sec) 
Heartbeat CPU  0 instructions:    3000002 cycles:    1772631 heartbeat IPC: 1.82110 cumulative IPC: 1.69240 (Simulation time: 0 hr 0 min 21 sec) 
Heartbeat CPU  2 instructions:    3000002 cycles:    2015797 heartbeat IPC: 1.61044 cumulative IPC: 1.48825 (Simulation time: 0 hr 0 min 25 sec) 
Heartbeat CPU  1 instructions:    4000000 cycles:    2270276 heartbeat IPC: 1.88851 cumulative IPC: 1.76190 (Simulation time: 0 hr 0 min 28 sec) 
Heartbeat CPU  3 instructions:    4000000 cycles:    2285931 heartbeat IPC: 1.86361 cumulative IPC: 1.74983 (Simulation time: 0 hr 0 min 28 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    2320136 heartbeat IPC: 1.82646 cumulative IPC: 1.72404 (Simulation time: 0 hr 0 min 29 sec) 
Heartbeat CPU  2 instructions:    4000000 cycles:    2624959 heartbeat IPC: 1.64160 cumulative IPC: 1.52383 (Simulation time: 0 hr 0 min 33 sec) 
Heartbeat CPU  1 instructions:    5000000 cycles:    2804960 heartbeat IPC: 1.87026 cumulative IPC: 1.78256 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  3 instructions:    5000003 cycles:    2811452 heartbeat IPC: 1.90288 cumulative IPC: 1.77844 (Simulation time: 0 hr 0 min 36 sec) 
