*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Mar 31 2025 20:14:32
*************************************************
parsing config file: /data3/config/bingo.ini

trace_0 /data3/NUTCH/traces/nutch_phase3_core0.trace.xz
Heartbeat CPU  0 instructions:    4000000 cycles:    1753723 heartbeat IPC: 2.23598 cumulative IPC: 2.28086 (Simulation time: 0 hr 0 min 20 sec) 
Heartbeat CPU  1 instructions:    4000000 cycles:    1814692 heartbeat IPC: 2.43562 cumulative IPC: 2.20423 (Simulation time: 0 hr 0 min 21 sec) 
Heartbeat CPU  3 instructions:    3000000 cycles:    1892776 heartbeat IPC: 1.82066 cumulative IPC: 1.58497 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  2 instructions:    4000000 cycles:    2141328 heartbeat IPC: 2.36876 cumulative IPC: 1.86800 (Simulation time: 0 hr 0 min 25 sec) 
Heartbeat CPU  1 instructions:    5000000 cycles:    2254580 heartbeat IPC: 2.27331 cumulative IPC: 2.21771 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  0 instructions:    5000002 cycles:    2314289 heartbeat IPC: 1.78391 cumulative IPC: 2.16049 (Simulation time: 0 hr 0 min 27 sec) 
Heartbeat CPU  3 instructions:    4000000 cycles:    2566699 heartbeat IPC: 1.48385 cumulative IPC: 1.55842 (Simulation time: 0 hr 0 min 30 sec) 
Heartbeat CPU  2 instructions:    5000000 cycles:    2570582 heartbeat IPC: 2.32962 cumulative IPC: 1.94508 (Simulation time: 0 hr 0 min 30 sec) 
Heartbeat CPU  1 instructions:    6000001 cycles:    2662209 heartbeat IPC: 2.45321 cumulative IPC: 2.25377 (Simulation time: 0 hr 0 min 31 sec) 
Heartbeat CPU  0 instructions:    6000000 cycles:    2935386 heartbeat IPC: 1.61005 cumulative IPC: 2.04402 (Simulation time: 0 hr 0 min 34 sec) 
Heartbeat CPU  2 instructions:    6000003 cycles:    3059981 heartbeat IPC: 2.04333 cumulative IPC: 1.96080 (Simulation time: 0 hr 0 min 35 sec) 
Heartbeat CPU  1 instructions:    7000002 cycles:    3152534 heartbeat IPC: 2.03947 cumulative IPC: 2.22044 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  3 instructions:    5000002 cycles:    3189631 heartbeat IPC: 1.60531 cumulative IPC: 1.56758 (Simulation time: 0 hr 0 min 37 sec) 
Heartbeat CPU  0 instructions:    7000002 cycles:    3388686 heartbeat IPC: 2.20605 cumulative IPC: 2.06570 (Simulation time: 0 hr 0 min 39 sec) 
Heartbeat CPU  2 instructions:    7000003 cycles:    3569450 heartbeat IPC: 1.96283 cumulative IPC: 1.96109 (Simulation time: 0 hr 0 min 42 sec) 
Heartbeat CPU  1 instructions:    8000000 cycles:    3569648 heartbeat IPC: 2.39742 cumulative IPC: 2.24112 (Simulation time: 0 hr 0 min 42 sec) 
Heartbeat CPU  3 instructions:    6000001 cycles:    3665073 heartbeat IPC: 2.10330 cumulative IPC: 1.63708 (Simulation time: 0 hr 0 min 43 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    3804650 heartbeat IPC: 2.40405 cumulative IPC: 2.10269 (Simulation time: 0 hr 0 min 45 sec) 
Heartbeat CPU  1 instructions:    9000001 cycles:    3978068 heartbeat IPC: 2.44846 cumulative IPC: 2.26240 (Simulation time: 0 hr 0 min 47 sec) 
Heartbeat CPU  2 instructions:    8000000 cycles:    4034562 heartbeat IPC: 2.15001 cumulative IPC: 1.98287 (Simulation time: 0 hr 0 min 48 sec) 
Heartbeat CPU  3 instructions:    7000003 cycles:    4111373 heartbeat IPC: 2.24065 cumulative IPC: 1.70259 (Simulation time: 0 hr 0 min 49 sec) 
Heartbeat CPU  0 instructions:    9000000 cycles:    4224989 heartbeat IPC: 2.37903 cumulative IPC: 2.13018 (Simulation time: 0 hr 0 min 51 sec) 
Heartbeat CPU  1 instructions:   10000001 cycles:    4398111 heartbeat IPC: 2.38071 cumulative IPC: 2.27370 (Simulation time: 0 hr 0 min 53 sec) 
Heartbeat CPU  2 instructions:    9000000 cycles:    4448390 heartbeat IPC: 2.41646 cumulative IPC: 2.02320 (Simulation time: 0 hr 0 min 53 sec) 
Heartbeat CPU  0 instructions:   10000001 cycles:    4644202 heartbeat IPC: 2.38542 cumulative IPC: 2.15322 (Simulation time: 0 hr 0 min 56 sec) 
Heartbeat CPU  3 instructions:    8000000 cycles:    4829026 heartbeat IPC: 1.39343 cumulative IPC: 1.65665 (Simulation time: 0 hr 0 min 58 sec) 
Heartbeat CPU  2 instructions:   10000000 cycles:    4864152 heartbeat IPC: 2.40522 cumulative IPC: 2.05586 (Simulation time: 0 hr 0 min 58 sec) 
Heartbeat CPU  1 instructions:   11000002 cycles:    4981095 heartbeat IPC: 1.71531 cumulative IPC: 2.20835 (Simulation time: 0 hr 1 min 0 sec) 
Heartbeat CPU  0 instructions:   11000000 cycles:    5056727 heartbeat IPC: 2.42409 cumulative IPC: 2.17532 (Simulation time: 0 hr 1 min 1 sec) 
Heartbeat CPU  2 instructions:   11000001 cycles:    5269066 heartbeat IPC: 2.46966 cumulative IPC: 2.08766 (Simulation time: 0 hr 1 min 4 sec) 
Heartbeat CPU  3 instructions:    9000002 cycles:    5270260 heartbeat IPC: 2.26638 cumulative IPC: 1.70770 (Simulation time: 0 hr 1 min 4 sec) 
Heartbeat CPU  1 instructions:   12000000 cycles:    5412648 heartbeat IPC: 2.31721 cumulative IPC: 2.21703 (Simulation time: 0 hr 1 min 6 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    5468913 heartbeat IPC: 2.42609 cumulative IPC: 2.19422 (Simulation time: 0 hr 1 min 7 sec) 
Heartbeat CPU  3 instructions:   10000001 cycles:    5697148 heartbeat IPC: 2.34253 cumulative IPC: 1.75526 (Simulation time: 0 hr 1 min 9 sec) 
Heartbeat CPU  2 instructions:   12000000 cycles:    5769838 heartbeat IPC: 1.99691 cumulative IPC: 2.07978 (Simulation time: 0 hr 1 min 10 sec) 
Heartbeat CPU  0 instructions:   13000002 cycles:    6010336 heartbeat IPC: 1.84699 cumulative IPC: 2.16294 (Simulation time: 0 hr 1 min 13 sec) 
Heartbeat CPU  1 instructions:   13000002 cycles:    6093918 heartbeat IPC: 1.46785 cumulative IPC: 2.13327 (Simulation time: 0 hr 1 min 14 sec) 
Heartbeat CPU  3 instructions:   11000001 cycles:    6110640 heartbeat IPC: 2.41843 cumulative IPC: 1.80014 (Simulation time: 0 hr 1 min 14 sec) 
Heartbeat CPU  2 instructions:   13000002 cycles:    6195658 heartbeat IPC: 2.34841 cumulative IPC: 2.09824 (Simulation time: 0 hr 1 min 15 sec) 
Heartbeat CPU  3 instructions:   12000000 cycles:    6532513 heartbeat IPC: 2.37038 cumulative IPC: 1.83697 (Simulation time: 0 hr 1 min 20 sec) 
Heartbeat CPU  0 instructions:   14000000 cycles:    6596075 heartbeat IPC: 1.70724 cumulative IPC: 2.12247 (Simulation time: 0 hr 1 min 21 sec) 
Heartbeat CPU  1 instructions:   14000000 cycles:    6597423 heartbeat IPC: 1.98607 cumulative IPC: 2.12204 (Simulation time: 0 hr 1 min 21 sec) 
Heartbeat CPU  2 instructions:   14000000 cycles:    6610361 heartbeat IPC: 2.41136 cumulative IPC: 2.11789 (Simulation time: 0 hr 1 min 21 sec) 
Heartbeat CPU  3 instructions:   13000002 cycles:    6959520 heartbeat IPC: 2.34189 cumulative IPC: 1.86795 (Simulation time: 0 hr 1 min 25 sec) 
Heartbeat CPU  2 instructions:   15000000 cycles:    7018706 heartbeat IPC: 2.44891 cumulative IPC: 2.13715 (Simulation time: 0 hr 1 min 25 sec) 
Heartbeat CPU  1 instructions:   15000002 cycles:    7192983 heartbeat IPC: 1.67910 cumulative IPC: 2.08537 (Simulation time: 0 hr 1 min 28 sec) 
Heartbeat CPU  0 instructions:   15000003 cycles:    7196556 heartbeat IPC: 1.66534 cumulative IPC: 2.08433 (Simulation time: 0 hr 1 min 28 sec) 
Heartbeat CPU  3 instructions:   14000002 cycles:    7370924 heartbeat IPC: 2.43070 cumulative IPC: 1.89936 (Simulation time: 0 hr 1 min 30 sec) 
Heartbeat CPU  2 instructions:   16000000 cycles:    7457407 heartbeat IPC: 2.27946 cumulative IPC: 2.14552 (Simulation time: 0 hr 1 min 31 sec) 
Heartbeat CPU  1 instructions:   16000000 cycles:    7658334 heartbeat IPC: 2.14891 cumulative IPC: 2.08923 (Simulation time: 0 hr 1 min 33 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:    7673867 heartbeat IPC: 2.09506 cumulative IPC: 2.08500 (Simulation time: 0 hr 1 min 34 sec) 
Heartbeat CPU  3 instructions:   15000001 cycles:    7841886 heartbeat IPC: 2.12331 cumulative IPC: 1.91281 (Simulation time: 0 hr 1 min 36 sec) 
Heartbeat CPU  1 instructions:   17000001 cycles:    8098714 heartbeat IPC: 2.27077 cumulative IPC: 2.09910 (Simulation time: 0 hr 1 min 38 sec) 
Heartbeat CPU  0 instructions:   17000002 cycles:    8099823 heartbeat IPC: 2.34767 cumulative IPC: 2.09881 (Simulation time: 0 hr 1 min 38 sec) 
Heartbeat CPU  2 instructions:   17000001 cycles:    8318847 heartbeat IPC: 1.16085 cumulative IPC: 2.04355 (Simulation time: 0 hr 1 min 41 sec) 
Heartbeat CPU  0 instructions:   18000001 cycles:    8519365 heartbeat IPC: 2.38355 cumulative IPC: 2.11283 (Simulation time: 0 hr 1 min 43 sec) 
Heartbeat CPU  1 instructions:   18000000 cycles:    8525083 heartbeat IPC: 2.34538 cumulative IPC: 2.11142 (Simulation time: 0 hr 1 min 43 sec) 
Heartbeat CPU  3 instructions:   16000000 cycles:    8603560 heartbeat IPC: 1.31290 cumulative IPC: 1.85970 (Simulation time: 0 hr 1 min 44 sec) 
Heartbeat CPU  0 instructions:   19000001 cycles:    8938294 heartbeat IPC: 2.38704 cumulative IPC: 2.12569 (Simulation time: 0 hr 1 min 48 sec) 
Heartbeat CPU  1 instructions:   19000002 cycles:    8939053 heartbeat IPC: 2.41564 cumulative IPC: 2.12550 (Simulation time: 0 hr 1 min 48 sec) 
Heartbeat CPU  2 instructions:   18000003 cycles:    9004868 heartbeat IPC: 1.45768 cumulative IPC: 1.99892 (Simulation time: 0 hr 1 min 49 sec) 
Heartbeat CPU  3 instructions:   17000001 cycles:    9059767 heartbeat IPC: 2.19199 cumulative IPC: 1.87643 (Simulation time: 0 hr 1 min 49 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:    9352548 heartbeat IPC: 2.41398 cumulative IPC: 2.13845 (Simulation time: 0 hr 1 min 53 sec) 
Heartbeat CPU  1 instructions:   20000000 cycles:    9361700 heartbeat IPC: 2.36604 cumulative IPC: 2.13636 (Simulation time: 0 hr 1 min 53 sec) 
Heartbeat CPU  3 instructions:   18000003 cycles:    9483050 heartbeat IPC: 2.36249 cumulative IPC: 1.89812 (Simulation time: 0 hr 1 min 55 sec) 
Heartbeat CPU  2 instructions:   19000000 cycles:    9554267 heartbeat IPC: 1.82017 cumulative IPC: 1.98864 (Simulation time: 0 hr 1 min 56 sec) 
Heartbeat CPU  0 instructions:   21000002 cycles:    9761985 heartbeat IPC: 2.44238 cumulative IPC: 2.15120 (Simulation time: 0 hr 1 min 59 sec) 
Heartbeat CPU  1 instructions:   21000000 cycles:    9783639 heartbeat IPC: 2.37001 cumulative IPC: 2.14644 (Simulation time: 0 hr 1 min 59 sec) 
Heartbeat CPU  3 instructions:   19000003 cycles:    9897790 heartbeat IPC: 2.41115 cumulative IPC: 1.91962 (Simulation time: 0 hr 2 min 1 sec) 
Heartbeat CPU  2 instructions:   20000000 cycles:   10121381 heartbeat IPC: 1.76331 cumulative IPC: 1.97601 (Simulation time: 0 hr 2 min 3 sec) 
Heartbeat CPU  1 instructions:   22000001 cycles:   10316918 heartbeat IPC: 1.87519 cumulative IPC: 2.13242 (Simulation time: 0 hr 2 min 5 sec) 
Heartbeat CPU  3 instructions:   20000000 cycles:   10470639 heartbeat IPC: 1.74566 cumulative IPC: 1.91010 (Simulation time: 0 hr 2 min 6 sec) 
Heartbeat CPU  0 instructions:   22000001 cycles:   10506728 heartbeat IPC: 1.34274 cumulative IPC: 2.09390 (Simulation time: 0 hr 2 min 7 sec) 
Heartbeat CPU  2 instructions:   21000003 cycles:   10663840 heartbeat IPC: 1.84346 cumulative IPC: 1.96927 (Simulation time: 0 hr 2 min 9 sec) 
Heartbeat CPU  1 instructions:   23000001 cycles:   10730560 heartbeat IPC: 2.41755 cumulative IPC: 2.14341 (Simulation time: 0 hr 2 min 9 sec) 
Heartbeat CPU  3 instructions:   21000000 cycles:   10887932 heartbeat IPC: 2.39640 cumulative IPC: 1.92874 (Simulation time: 0 hr 2 min 11 sec) 
Heartbeat CPU  1 instructions:   24000000 cycles:   11142857 heartbeat IPC: 2.42543 cumulative IPC: 2.15385 (Simulation time: 0 hr 2 min 15 sec) 
Heartbeat CPU  2 instructions:   22000000 cycles:   11161762 heartbeat IPC: 2.00834 cumulative IPC: 1.97101 (Simulation time: 0 hr 2 min 15 sec) 
Heartbeat CPU  0 instructions:   23000000 cycles:   11162550 heartbeat IPC: 1.52480 cumulative IPC: 2.06046 (Simulation time: 0 hr 2 min 15 sec) 
Heartbeat CPU  3 instructions:   22000001 cycles:   11423392 heartbeat IPC: 1.86756 cumulative IPC: 1.92587 (Simulation time: 0 hr 2 min 18 sec) 
Heartbeat CPU  1 instructions:   25000000 cycles:   11556334 heartbeat IPC: 2.41851 cumulative IPC: 2.16332 (Simulation time: 0 hr 2 min 20 sec) 
Heartbeat CPU  2 instructions:   23000001 cycles:   11608534 heartbeat IPC: 2.23828 cumulative IPC: 1.98130 (Simulation time: 0 hr 2 min 20 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   11741190 heartbeat IPC: 1.72819 cumulative IPC: 2.04409 (Simulation time: 0 hr 2 min 22 sec) 
Heartbeat CPU  3 instructions:   23000000 cycles:   11854712 heartbeat IPC: 2.31846 cumulative IPC: 1.94016 (Simulation time: 0 hr 2 min 24 sec) 
Heartbeat CPU  1 instructions:   26000003 cycles:   11977274 heartbeat IPC: 2.37564 cumulative IPC: 2.17078 (Simulation time: 0 hr 2 min 25 sec) 
Heartbeat CPU  2 instructions:   24000000 cycles:   12085475 heartbeat IPC: 2.09669 cumulative IPC: 1.98585 (Simulation time: 0 hr 2 min 27 sec) 
Heartbeat CPU  0 instructions:   25000001 cycles:   12236608 heartbeat IPC: 2.01850 cumulative IPC: 2.04305 (Simulation time: 0 hr 2 min 29 sec) 
Heartbeat CPU  3 instructions:   24000000 cycles:   12365776 heartbeat IPC: 1.95670 cumulative IPC: 1.94084 (Simulation time: 0 hr 2 min 30 sec) 
Heartbeat CPU  1 instructions:   27000003 cycles:   12392699 heartbeat IPC: 2.40717 cumulative IPC: 2.17870 (Simulation time: 0 hr 2 min 31 sec) 
Heartbeat CPU  2 instructions:   25000000 cycles:   12567275 heartbeat IPC: 2.07555 cumulative IPC: 1.98929 (Simulation time: 0 hr 2 min 33 sec) 
Heartbeat CPU  0 instructions:   26000001 cycles:   12734798 heartbeat IPC: 2.00727 cumulative IPC: 2.04165 (Simulation time: 0 hr 2 min 35 sec) 
Heartbeat CPU  1 instructions:   28000000 cycles:   12869256 heartbeat IPC: 2.09838 cumulative IPC: 2.17573 (Simulation time: 0 hr 2 min 36 sec) 
Heartbeat CPU  2 instructions:   26000001 cycles:   13055043 heartbeat IPC: 2.05016 cumulative IPC: 1.99157 (Simulation time: 0 hr 2 min 38 sec) 
Heartbeat CPU  3 instructions:   25000001 cycles:   13084651 heartbeat IPC: 1.39106 cumulative IPC: 1.91064 (Simulation time: 0 hr 2 min 39 sec) 
Heartbeat CPU  1 instructions:   29000002 cycles:   13298908 heartbeat IPC: 2.32747 cumulative IPC: 2.18063 (Simulation time: 0 hr 2 min 41 sec) 
Heartbeat CPU  0 instructions:   27000000 cycles:   13314631 heartbeat IPC: 1.72463 cumulative IPC: 2.02784 (Simulation time: 0 hr 2 min 41 sec) 
Heartbeat CPU  1 instructions:   30000002 cycles:   13706115 heartbeat IPC: 2.45575 cumulative IPC: 2.18880 (Simulation time: 0 hr 2 min 45 sec) 
Heartbeat CPU  2 instructions:   27000003 cycles:   13726080 heartbeat IPC: 1.49023 cumulative IPC: 1.96706 (Simulation time: 0 hr 2 min 45 sec) 
Heartbeat CPU  3 instructions:   26000002 cycles:   13784320 heartbeat IPC: 1.42925 cumulative IPC: 1.88620 (Simulation time: 0 hr 2 min 46 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   13878880 heartbeat IPC: 1.77227 cumulative IPC: 2.01745 (Simulation time: 0 hr 2 min 47 sec) 
Heartbeat CPU  1 instructions:   31000003 cycles:   14113985 heartbeat IPC: 2.45176 cumulative IPC: 2.19640 (Simulation time: 0 hr 2 min 51 sec) 
Heartbeat CPU  3 instructions:   27000003 cycles:   14202397 heartbeat IPC: 2.39191 cumulative IPC: 1.90109 (Simulation time: 0 hr 2 min 52 sec) 
Heartbeat CPU  2 instructions:   28000000 cycles:   14274014 heartbeat IPC: 1.82503 cumulative IPC: 1.96161 (Simulation time: 0 hr 2 min 53 sec) 
Heartbeat CPU  0 instructions:   29000001 cycles:   14389549 heartbeat IPC: 1.95822 cumulative IPC: 2.01535 (Simulation time: 0 hr 2 min 54 sec) 
Heartbeat CPU  1 instructions:   32000000 cycles:   14517090 heartbeat IPC: 2.48074 cumulative IPC: 2.20430 (Simulation time: 0 hr 2 min 55 sec) 
Heartbeat CPU  2 instructions:   29000002 cycles:   14775983 heartbeat IPC: 1.99216 cumulative IPC: 1.96264 (Simulation time: 0 hr 2 min 58 sec) 
Heartbeat CPU  0 instructions:   30000002 cycles:   14869407 heartbeat IPC: 2.08395 cumulative IPC: 2.01757 (Simulation time: 0 hr 2 min 59 sec) 
Heartbeat CPU  3 instructions:   28000000 cycles:   14903769 heartbeat IPC: 1.42577 cumulative IPC: 1.87872 (Simulation time: 0 hr 3 min 0 sec) 
Heartbeat CPU  1 instructions:   33000002 cycles:   15138739 heartbeat IPC: 1.60863 cumulative IPC: 2.17984 (Simulation time: 0 hr 3 min 2 sec) 
Heartbeat CPU  2 instructions:   30000001 cycles:   15245452 heartbeat IPC: 2.13006 cumulative IPC: 1.96780 (Simulation time: 0 hr 3 min 3 sec) 
Heartbeat CPU  0 instructions:   31000000 cycles:   15357472 heartbeat IPC: 2.04890 cumulative IPC: 2.01856 (Simulation time: 0 hr 3 min 5 sec) 
Heartbeat CPU  3 instructions:   29000003 cycles:   15468278 heartbeat IPC: 1.77146 cumulative IPC: 1.87480 (Simulation time: 0 hr 3 min 6 sec) 
Heartbeat CPU  2 instructions:   31000002 cycles:   15701798 heartbeat IPC: 2.19132 cumulative IPC: 1.97430 (Simulation time: 0 hr 3 min 9 sec) 
Heartbeat CPU  1 instructions:   34000001 cycles:   15815924 heartbeat IPC: 1.47670 cumulative IPC: 2.14973 (Simulation time: 0 hr 3 min 10 sec) 
Heartbeat CPU  3 instructions:   30000002 cycles:   15924866 heartbeat IPC: 2.19016 cumulative IPC: 1.88385 (Simulation time: 0 hr 3 min 11 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   15986013 heartbeat IPC: 1.59099 cumulative IPC: 2.00175 (Simulation time: 0 hr 3 min 12 sec) 
Heartbeat CPU  2 instructions:   32000000 cycles:   16170063 heartbeat IPC: 2.13554 cumulative IPC: 1.97897 (Simulation time: 0 hr 3 min 14 sec) 
Heartbeat CPU  3 instructions:   31000002 cycles:   16346414 heartbeat IPC: 2.37221 cumulative IPC: 1.89644 (Simulation time: 0 hr 3 min 16 sec) 
Heartbeat CPU  1 instructions:   35000002 cycles:   16379126 heartbeat IPC: 1.77556 cumulative IPC: 2.13687 (Simulation time: 0 hr 3 min 17 sec) 
Heartbeat CPU  0 instructions:   33000000 cycles:   16531852 heartbeat IPC: 1.83204 cumulative IPC: 1.99615 (Simulation time: 0 hr 3 min 19 sec) 
Heartbeat CPU  2 instructions:   33000000 cycles:   16663901 heartbeat IPC: 2.02496 cumulative IPC: 1.98033 (Simulation time: 0 hr 3 min 20 sec) 
Heartbeat CPU  3 instructions:   32000000 cycles:   16772622 heartbeat IPC: 2.34627 cumulative IPC: 1.90787 (Simulation time: 0 hr 3 min 21 sec) 
Heartbeat CPU  0 instructions:   34000001 cycles:   17011365 heartbeat IPC: 2.08545 cumulative IPC: 1.99866 (Simulation time: 0 hr 3 min 24 sec) 
Heartbeat CPU  1 instructions:   36000000 cycles:   17086766 heartbeat IPC: 1.41315 cumulative IPC: 2.10689 (Simulation time: 0 hr 3 min 25 sec) 
Heartbeat CPU  3 instructions:   33000003 cycles:   17193330 heartbeat IPC: 2.37695 cumulative IPC: 1.91935 (Simulation time: 0 hr 3 min 26 sec) 
Heartbeat CPU  2 instructions:   34000003 cycles:   17290612 heartbeat IPC: 1.59564 cumulative IPC: 1.96639 (Simulation time: 0 hr 3 min 27 sec) 
Heartbeat CPU  0 instructions:   35000000 cycles:   17498419 heartbeat IPC: 2.05316 cumulative IPC: 2.00018 (Simulation time: 0 hr 3 min 29 sec) 
Heartbeat CPU  3 instructions:   34000001 cycles:   17606384 heartbeat IPC: 2.42099 cumulative IPC: 1.93112 (Simulation time: 0 hr 3 min 30 sec) 
Heartbeat CPU  1 instructions:   37000002 cycles:   17921537 heartbeat IPC: 1.19794 cumulative IPC: 2.06456 (Simulation time: 0 hr 3 min 33 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   17988292 heartbeat IPC: 2.04135 cumulative IPC: 2.00130 (Simulation time: 0 hr 3 min 34 sec) 
Heartbeat CPU  2 instructions:   35000002 cycles:   18118235 heartbeat IPC: 1.20828 cumulative IPC: 1.93176 (Simulation time: 0 hr 3 min 35 sec) 
Heartbeat CPU  3 instructions:   35000000 cycles:   18181274 heartbeat IPC: 1.73946 cumulative IPC: 1.92506 (Simulation time: 0 hr 3 min 35 sec) 
Heartbeat CPU  1 instructions:   38000001 cycles:   18470350 heartbeat IPC: 1.82211 cumulative IPC: 2.05735 (Simulation time: 0 hr 3 min 39 sec) 
Heartbeat CPU  0 instructions:   37000002 cycles:   18631976 heartbeat IPC: 1.55356 cumulative IPC: 1.98583 (Simulation time: 0 hr 3 min 40 sec) 
Heartbeat CPU  3 instructions:   36000000 cycles:   18695182 heartbeat IPC: 1.94587 cumulative IPC: 1.92563 (Simulation time: 0 hr 3 min 41 sec) 
Heartbeat CPU  2 instructions:   36000000 cycles:   18781585 heartbeat IPC: 1.50750 cumulative IPC: 1.91677 (Simulation time: 0 hr 3 min 42 sec) 
