*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Apr  2 2025 11:26:00
*************************************************
parsing config file: /data3/config/pythia_mod2.ini

trace_0 /data3/NUTCH/traces/nutch_phase4_core0.trace.xz
adding L2C_PREFETCHER: Scooby
Initialize SHIP state
warmup_instructions 50000000
simulation_instructions 150000000
champsim_seed 1790
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 1
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 1
log2_dram_channels 0
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 4096
dram_pages 1048576

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 2048
llc_set 2048
llc_way 16
llc_rq_size 32
llc_wq_size 32
llc_pq_size 32
llc_mshr_size 64
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13

scooby_alpha 0.008
scooby_gamma 0.5563
scooby_epsilon 0.005
scooby_state_num_bits 10
scooby_max_states 1024
scooby_seed 200
scooby_policy EGreedy
scooby_learning_type SARSA
scooby_actions 1,2,3,4,6,8,10,12,16,-1,-2,-4,0,
scooby_max_actions 13
scooby_pt_size 384
scooby_st_size 96
scooby_max_pcs 5
scooby_max_offsets 5
scooby_max_deltas 5
scooby_reward_none -4
scooby_reward_incorrect -10
scooby_reward_correct_untimely 12
scooby_reward_correct_timely 25
scooby_brain_zero_init 0
scooby_enable_reward_all 0
scooby_enable_track_multiple 0
scooby_enable_reward_out_of_bounds 1
scooby_reward_out_of_bounds -14
scooby_state_type 1
scooby_state_hash_type 4
scooby_access_debug 0
scooby_print_access_debug 0
scooby_print_access_debug_pc deadbeef
scooby_print_access_debug_pc_count 0
scooby_print_trace 0
scooby_enable_state_action_stats 1
scooby_enable_reward_tracker_hit 1
scooby_reward_tracker_hit -3
scooby_enable_featurewise_engine 1
scooby_pref_degree 1
scooby_enable_dyn_degree 1
scooby_max_to_avg_q_thresholds 0.6,1.2,2,
scooby_dyn_degrees 1,2,4,6,
scooby_multi_deg_select_type 2
scooby_last_pref_offset_conf_thresholds 1,3,6,
scooby_dyn_degrees_type2 1,2,4,6,
scooby_action_tracker_size 2
scooby_high_bw_thresh 4
scooby_enable_hbw_reward 1
scooby_reward_hbw_correct_timely 25
scooby_reward_hbw_correct_untimely 12
scooby_reward_hbw_incorrect -16
scooby_reward_hbw_none -4
scooby_reward_hbw_out_of_bounds -14
scooby_reward_hbw_tracker_hit -3
scooby_last_pref_offset_conf_thresholds_hbw 1,3,6,
scooby_dyn_degrees_type2_hbw 1,2,4,6,

le_enable_trace 0
le_trace_interval 0
le_trace_file_name 
le_trace_state 0
le_enable_score_plot 0
le_plot_file_name 
le_plot_actions 
le_enable_action_trace 0
le_action_trace_interval 0
le_action_trace_name 
le_enable_action_plot 0

le_featurewise_active_features PC, PC_Delta
le_featurewise_num_tilings 4,4,
le_featurewise_num_tiles 192,192,
le_featurewise_hash_types 2,2,
le_featurewise_enable_tiling_offset 1,1,
le_featurewise_max_q_thresh 0.5
le_featurewise_enable_action_fallback 1
le_featurewise_feature_weights 1,1,
le_featurewise_enable_dynamic_weight 0
le_featurewise_weight_gradient 0.001
le_featurewise_disable_adjust_weight_all_features_align 1
le_featurewise_selective_update 0
le_featurewise_pooling_type 2
le_featurewise_enable_dyn_action_fallback 1
le_featurewise_bw_acc_check_level 1
le_featurewise_acc_thresh 2
le_featurewise_enable_trace 0
le_featurewise_trace_feature_type 0
le_featurewise_trace_feature 
le_featurewise_trace_interval 0
le_featurewise_trace_record_count 0
le_featurewise_trace_file_name 
le_featurewise_enable_score_plot 0
le_featurewise_plot_actions 
le_featurewise_plot_file_name 


Heartbeat CPU  0 instructions:    1000001 cycles:     429856 heartbeat IPC: 2.32636 cumulative IPC: 2.32636 (Simulation time: 0 hr 0 min 2 sec) 
Heartbeat CPU  0 instructions:    2000001 cycles:     999975 heartbeat IPC: 1.75402 cumulative IPC: 2.00005 (Simulation time: 0 hr 0 min 3 sec) 
Heartbeat CPU  0 instructions:    3000000 cycles:    1525726 heartbeat IPC: 1.90204 cumulative IPC: 1.96628 (Simulation time: 0 hr 0 min 4 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    2016456 heartbeat IPC: 2.03778 cumulative IPC: 1.98368 (Simulation time: 0 hr 0 min 5 sec) 
Heartbeat CPU  0 instructions:    5000003 cycles:    2440608 heartbeat IPC: 2.35765 cumulative IPC: 2.04867 (Simulation time: 0 hr 0 min 6 sec) 
Heartbeat CPU  0 instructions:    6000002 cycles:    2851991 heartbeat IPC: 2.43082 cumulative IPC: 2.10379 (Simulation time: 0 hr 0 min 8 sec) 
Heartbeat CPU  0 instructions:    7000000 cycles:    3263070 heartbeat IPC: 2.43262 cumulative IPC: 2.14522 (Simulation time: 0 hr 0 min 9 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    3673068 heartbeat IPC: 2.43904 cumulative IPC: 2.17802 (Simulation time: 0 hr 0 min 10 sec) 
Heartbeat CPU  0 instructions:    9000002 cycles:    4131284 heartbeat IPC: 2.18238 cumulative IPC: 2.17850 (Simulation time: 0 hr 0 min 11 sec) 
Heartbeat CPU  0 instructions:   10000002 cycles:    4655197 heartbeat IPC: 1.90871 cumulative IPC: 2.14814 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  0 instructions:   11000003 cycles:    5219144 heartbeat IPC: 1.77322 cumulative IPC: 2.10763 (Simulation time: 0 hr 0 min 14 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    5653596 heartbeat IPC: 2.30174 cumulative IPC: 2.12254 (Simulation time: 0 hr 0 min 15 sec) 
Heartbeat CPU  0 instructions:   13000001 cycles:    6081385 heartbeat IPC: 2.33760 cumulative IPC: 2.13767 (Simulation time: 0 hr 0 min 16 sec) 
Heartbeat CPU  0 instructions:   14000003 cycles:    6493068 heartbeat IPC: 2.42906 cumulative IPC: 2.15615 (Simulation time: 0 hr 0 min 17 sec) 
Heartbeat CPU  0 instructions:   15000000 cycles:    6902319 heartbeat IPC: 2.44348 cumulative IPC: 2.17318 (Simulation time: 0 hr 0 min 18 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:    7380962 heartbeat IPC: 2.08924 cumulative IPC: 2.16774 (Simulation time: 0 hr 0 min 19 sec) 
Heartbeat CPU  0 instructions:   17000001 cycles:    7882545 heartbeat IPC: 1.99369 cumulative IPC: 2.15666 (Simulation time: 0 hr 0 min 21 sec) 
Heartbeat CPU  0 instructions:   18000002 cycles:    8439343 heartbeat IPC: 1.79599 cumulative IPC: 2.13287 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  0 instructions:   19000001 cycles:    8855915 heartbeat IPC: 2.40054 cumulative IPC: 2.14546 (Simulation time: 0 hr 0 min 23 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:    9258304 heartbeat IPC: 2.48515 cumulative IPC: 2.16022 (Simulation time: 0 hr 0 min 24 sec) 
Heartbeat CPU  0 instructions:   21000002 cycles:    9660811 heartbeat IPC: 2.48443 cumulative IPC: 2.17373 (Simulation time: 0 hr 0 min 25 sec) 
Heartbeat CPU  0 instructions:   22000001 cycles:   10060820 heartbeat IPC: 2.49994 cumulative IPC: 2.18670 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  0 instructions:   23000001 cycles:   10460496 heartbeat IPC: 2.50203 cumulative IPC: 2.19875 (Simulation time: 0 hr 0 min 27 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   10856440 heartbeat IPC: 2.52561 cumulative IPC: 2.21067 (Simulation time: 0 hr 0 min 29 sec) 
Heartbeat CPU  0 instructions:   25000001 cycles:   11315736 heartbeat IPC: 2.17725 cumulative IPC: 2.20931 (Simulation time: 0 hr 0 min 30 sec) 
Heartbeat CPU  0 instructions:   26000000 cycles:   11855840 heartbeat IPC: 1.85149 cumulative IPC: 2.19301 (Simulation time: 0 hr 0 min 31 sec) 
Heartbeat CPU  0 instructions:   27000002 cycles:   12313367 heartbeat IPC: 2.18567 cumulative IPC: 2.19274 (Simulation time: 0 hr 0 min 33 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   12846420 heartbeat IPC: 1.87598 cumulative IPC: 2.17960 (Simulation time: 0 hr 0 min 34 sec) 
Heartbeat CPU  0 instructions:   29000001 cycles:   13282607 heartbeat IPC: 2.29260 cumulative IPC: 2.18331 (Simulation time: 0 hr 0 min 35 sec) 
Heartbeat CPU  0 instructions:   30000003 cycles:   13864900 heartbeat IPC: 1.71735 cumulative IPC: 2.16374 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  0 instructions:   31000000 cycles:   14712792 heartbeat IPC: 1.17939 cumulative IPC: 2.10701 (Simulation time: 0 hr 0 min 37 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   15461369 heartbeat IPC: 1.33587 cumulative IPC: 2.06967 (Simulation time: 0 hr 0 min 39 sec) 
Heartbeat CPU  0 instructions:   33000000 cycles:   16049131 heartbeat IPC: 1.70137 cumulative IPC: 2.05619 (Simulation time: 0 hr 0 min 40 sec) 
Heartbeat CPU  0 instructions:   34000001 cycles:   16664609 heartbeat IPC: 1.62476 cumulative IPC: 2.04025 (Simulation time: 0 hr 0 min 41 sec) 
Heartbeat CPU  0 instructions:   35000002 cycles:   17352885 heartbeat IPC: 1.45291 cumulative IPC: 2.01696 (Simulation time: 0 hr 0 min 43 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   17983784 heartbeat IPC: 1.58504 cumulative IPC: 2.00180 (Simulation time: 0 hr 0 min 44 sec) 
Heartbeat CPU  0 instructions:   37000002 cycles:   18627701 heartbeat IPC: 1.55300 cumulative IPC: 1.98629 (Simulation time: 0 hr 0 min 45 sec) 
Heartbeat CPU  0 instructions:   38000003 cycles:   19175211 heartbeat IPC: 1.82645 cumulative IPC: 1.98173 (Simulation time: 0 hr 0 min 47 sec) 
Heartbeat CPU  0 instructions:   39000001 cycles:   19701543 heartbeat IPC: 1.89994 cumulative IPC: 1.97954 (Simulation time: 0 hr 0 min 48 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   20169750 heartbeat IPC: 2.13581 cumulative IPC: 1.98317 (Simulation time: 0 hr 0 min 49 sec) 
Heartbeat CPU  0 instructions:   41000003 cycles:   20614056 heartbeat IPC: 2.25071 cumulative IPC: 1.98893 (Simulation time: 0 hr 0 min 51 sec) 
Heartbeat CPU  0 instructions:   42000003 cycles:   21055250 heartbeat IPC: 2.26658 cumulative IPC: 1.99475 (Simulation time: 0 hr 0 min 52 sec) 
