*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Mar 31 2025 20:14:32
*************************************************
parsing config file: /data3/config/bingo.ini

trace_0 /data3/CLOUD9/traces/cloud9_phase3_core0.trace.xz
Heartbeat CPU  1 instructions:    2000003 cycles:     868881 heartbeat IPC: 2.30104 cumulative IPC: 2.30181 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  2 instructions:    2000001 cycles:     928892 heartbeat IPC: 2.31516 cumulative IPC: 2.15310 (Simulation time: 0 hr 0 min 14 sec) 
Heartbeat CPU  3 instructions:    3000003 cycles:    1194674 heartbeat IPC: 2.53072 cumulative IPC: 2.51115 (Simulation time: 0 hr 0 min 18 sec) 
Heartbeat CPU  0 instructions:    3000003 cycles:    1269202 heartbeat IPC: 2.39452 cumulative IPC: 2.36369 (Simulation time: 0 hr 0 min 19 sec) 
Heartbeat CPU  1 instructions:    3000001 cycles:    1296801 heartbeat IPC: 2.33688 cumulative IPC: 2.31339 (Simulation time: 0 hr 0 min 20 sec) 
Heartbeat CPU  2 instructions:    3000001 cycles:    1366178 heartbeat IPC: 2.28683 cumulative IPC: 2.19591 (Simulation time: 0 hr 0 min 21 sec) 
Heartbeat CPU  3 instructions:    4000000 cycles:    1588933 heartbeat IPC: 2.53640 cumulative IPC: 2.51741 (Simulation time: 0 hr 0 min 24 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    1702264 heartbeat IPC: 2.30913 cumulative IPC: 2.34981 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  1 instructions:    4000000 cycles:    1760944 heartbeat IPC: 2.15451 cumulative IPC: 2.27151 (Simulation time: 0 hr 0 min 27 sec) 
Heartbeat CPU  2 instructions:    4000000 cycles:    1820768 heartbeat IPC: 2.19978 cumulative IPC: 2.19688 (Simulation time: 0 hr 0 min 28 sec) 
Heartbeat CPU  3 instructions:    5000001 cycles:    1981705 heartbeat IPC: 2.54601 cumulative IPC: 2.52308 (Simulation time: 0 hr 0 min 30 sec) 
Heartbeat CPU  0 instructions:    5000001 cycles:    2154611 heartbeat IPC: 2.21069 cumulative IPC: 2.32061 (Simulation time: 0 hr 0 min 33 sec) 
Heartbeat CPU  2 instructions:    5000000 cycles:    2241790 heartbeat IPC: 2.37517 cumulative IPC: 2.23036 (Simulation time: 0 hr 0 min 34 sec) 
Heartbeat CPU  1 instructions:    5000002 cycles:    2249553 heartbeat IPC: 2.04663 cumulative IPC: 2.22266 (Simulation time: 0 hr 0 min 34 sec) 
Heartbeat CPU  3 instructions:    6000002 cycles:    2377949 heartbeat IPC: 2.52370 cumulative IPC: 2.52318 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  0 instructions:    6000000 cycles:    2599377 heartbeat IPC: 2.24837 cumulative IPC: 2.30825 (Simulation time: 0 hr 0 min 40 sec) 
Heartbeat CPU  1 instructions:    6000001 cycles:    2686223 heartbeat IPC: 2.29006 cumulative IPC: 2.23362 (Simulation time: 0 hr 0 min 41 sec) 
Heartbeat CPU  2 instructions:    6000001 cycles:    2735056 heartbeat IPC: 2.02731 cumulative IPC: 2.19374 (Simulation time: 0 hr 0 min 42 sec) 
Heartbeat CPU  3 instructions:    7000000 cycles:    2778284 heartbeat IPC: 2.49790 cumulative IPC: 2.51954 (Simulation time: 0 hr 0 min 42 sec) 
Heartbeat CPU  0 instructions:    7000002 cycles:    3062947 heartbeat IPC: 2.15718 cumulative IPC: 2.28538 (Simulation time: 0 hr 0 min 47 sec) 
Heartbeat CPU  1 instructions:    7000000 cycles:    3135571 heartbeat IPC: 2.22544 cumulative IPC: 2.23245 (Simulation time: 0 hr 0 min 48 sec) 
Heartbeat CPU  2 instructions:    7000000 cycles:    3164161 heartbeat IPC: 2.33043 cumulative IPC: 2.21228 (Simulation time: 0 hr 0 min 48 sec) 
Heartbeat CPU  3 instructions:    8000000 cycles:    3173144 heartbeat IPC: 2.53254 cumulative IPC: 2.52116 (Simulation time: 0 hr 0 min 48 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    3510923 heartbeat IPC: 2.23226 cumulative IPC: 2.27860 (Simulation time: 0 hr 0 min 54 sec) 
Heartbeat CPU  3 instructions:    9000000 cycles:    3567356 heartbeat IPC: 2.53671 cumulative IPC: 2.52288 (Simulation time: 0 hr 0 min 55 sec) 
Heartbeat CPU  2 instructions:    8000000 cycles:    3582302 heartbeat IPC: 2.39154 cumulative IPC: 2.23320 (Simulation time: 0 hr 0 min 55 sec) 
Heartbeat CPU  1 instructions:    8000000 cycles:    3587870 heartbeat IPC: 2.21093 cumulative IPC: 2.22974 (Simulation time: 0 hr 0 min 55 sec) 
Heartbeat CPU  0 instructions:    9000001 cycles:    3957412 heartbeat IPC: 2.23970 cumulative IPC: 2.27421 (Simulation time: 0 hr 1 min 1 sec) 
Heartbeat CPU  3 instructions:   10000000 cycles:    3962029 heartbeat IPC: 2.53374 cumulative IPC: 2.52396 (Simulation time: 0 hr 1 min 1 sec) 
Heartbeat CPU  2 instructions:    9000003 cycles:    4004025 heartbeat IPC: 2.37123 cumulative IPC: 2.24774 (Simulation time: 0 hr 1 min 2 sec) 
Heartbeat CPU  1 instructions:    9000001 cycles:    4021120 heartbeat IPC: 2.30814 cumulative IPC: 2.23818 (Simulation time: 0 hr 1 min 2 sec) 
Heartbeat CPU  3 instructions:   11000002 cycles:    4355493 heartbeat IPC: 2.54153 cumulative IPC: 2.52555 (Simulation time: 0 hr 1 min 7 sec) 
Heartbeat CPU  0 instructions:   10000003 cycles:    4407945 heartbeat IPC: 2.21960 cumulative IPC: 2.26863 (Simulation time: 0 hr 1 min 8 sec) 
Heartbeat CPU  2 instructions:   10000002 cycles:    4421344 heartbeat IPC: 2.39625 cumulative IPC: 2.26176 (Simulation time: 0 hr 1 min 8 sec) 
Heartbeat CPU  1 instructions:   10000000 cycles:    4508943 heartbeat IPC: 2.04992 cumulative IPC: 2.21781 (Simulation time: 0 hr 1 min 9 sec) 
Heartbeat CPU  3 instructions:   12000000 cycles:    4747089 heartbeat IPC: 2.55365 cumulative IPC: 2.52786 (Simulation time: 0 hr 1 min 13 sec) 
Heartbeat CPU  0 instructions:   11000003 cycles:    4891186 heartbeat IPC: 2.06936 cumulative IPC: 2.24894 (Simulation time: 0 hr 1 min 15 sec) 
Heartbeat CPU  1 instructions:   11000000 cycles:    4942610 heartbeat IPC: 2.30592 cumulative IPC: 2.22554 (Simulation time: 0 hr 1 min 16 sec) 
Heartbeat CPU  2 instructions:   11000001 cycles:    4999573 heartbeat IPC: 1.72942 cumulative IPC: 2.20019 (Simulation time: 0 hr 1 min 16 sec) 
Heartbeat CPU  3 instructions:   13000001 cycles:    5137711 heartbeat IPC: 2.56002 cumulative IPC: 2.53031 (Simulation time: 0 hr 1 min 19 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    5308921 heartbeat IPC: 2.39385 cumulative IPC: 2.26035 (Simulation time: 0 hr 1 min 21 sec) 
Heartbeat CPU  1 instructions:   12000000 cycles:    5361571 heartbeat IPC: 2.38686 cumulative IPC: 2.23815 (Simulation time: 0 hr 1 min 22 sec) 
Heartbeat CPU  2 instructions:   12000000 cycles:    5427841 heartbeat IPC: 2.33498 cumulative IPC: 2.21082 (Simulation time: 0 hr 1 min 23 sec) 
Heartbeat CPU  3 instructions:   14000001 cycles:    5528334 heartbeat IPC: 2.56001 cumulative IPC: 2.53241 (Simulation time: 0 hr 1 min 25 sec) 
Heartbeat CPU  0 instructions:   13000002 cycles:    5743766 heartbeat IPC: 2.29967 cumulative IPC: 2.26332 (Simulation time: 0 hr 1 min 28 sec) 
Heartbeat CPU  1 instructions:   13000001 cycles:    5783818 heartbeat IPC: 2.36828 cumulative IPC: 2.24765 (Simulation time: 0 hr 1 min 29 sec) 
Heartbeat CPU  2 instructions:   13000000 cycles:    5856121 heartbeat IPC: 2.33492 cumulative IPC: 2.21990 (Simulation time: 0 hr 1 min 30 sec) 
Heartbeat CPU  3 instructions:   15000002 cycles:    5919263 heartbeat IPC: 2.55801 cumulative IPC: 2.53410 (Simulation time: 0 hr 1 min 31 sec) 
Heartbeat CPU  0 instructions:   14000003 cycles:    6172602 heartbeat IPC: 2.33190 cumulative IPC: 2.26809 (Simulation time: 0 hr 1 min 35 sec) 
Heartbeat CPU  1 instructions:   14000001 cycles:    6209463 heartbeat IPC: 2.34938 cumulative IPC: 2.25462 (Simulation time: 0 hr 1 min 35 sec) 
Heartbeat CPU  2 instructions:   14000001 cycles:    6289686 heartbeat IPC: 2.30646 cumulative IPC: 2.22587 (Simulation time: 0 hr 1 min 37 sec) 
Heartbeat CPU  3 instructions:   16000000 cycles:    6311901 heartbeat IPC: 2.54687 cumulative IPC: 2.53489 (Simulation time: 0 hr 1 min 37 sec) 
Heartbeat CPU  0 instructions:   15000002 cycles:    6592146 heartbeat IPC: 2.38354 cumulative IPC: 2.27544 (Simulation time: 0 hr 1 min 41 sec) 
Heartbeat CPU  3 instructions:   17000001 cycles:    6703058 heartbeat IPC: 2.55652 cumulative IPC: 2.53616 (Simulation time: 0 hr 1 min 42 sec) 
Heartbeat CPU  2 instructions:   15000000 cycles:    6752676 heartbeat IPC: 2.15987 cumulative IPC: 2.22134 (Simulation time: 0 hr 1 min 43 sec) 
Heartbeat CPU  1 instructions:   15000001 cycles:    6796464 heartbeat IPC: 1.70357 cumulative IPC: 2.20703 (Simulation time: 0 hr 1 min 44 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:    6999478 heartbeat IPC: 2.45499 cumulative IPC: 2.28588 (Simulation time: 0 hr 1 min 47 sec) 
Heartbeat CPU  3 instructions:   18000000 cycles:    7093979 heartbeat IPC: 2.55806 cumulative IPC: 2.53736 (Simulation time: 0 hr 1 min 48 sec) 
Heartbeat CPU  2 instructions:   16000000 cycles:    7199930 heartbeat IPC: 2.23587 cumulative IPC: 2.22224 (Simulation time: 0 hr 1 min 50 sec) 
Heartbeat CPU  1 instructions:   16000000 cycles:    7229287 heartbeat IPC: 2.31041 cumulative IPC: 2.21322 (Simulation time: 0 hr 1 min 50 sec) 
Heartbeat CPU  3 instructions:   19000002 cycles:    7485399 heartbeat IPC: 2.55481 cumulative IPC: 2.53828 (Simulation time: 0 hr 1 min 54 sec) 
Heartbeat CPU  0 instructions:   17000003 cycles:    7552937 heartbeat IPC: 1.80682 cumulative IPC: 2.25078 (Simulation time: 0 hr 1 min 55 sec) 
Heartbeat CPU  2 instructions:   17000000 cycles:    7639959 heartbeat IPC: 2.27258 cumulative IPC: 2.22514 (Simulation time: 0 hr 1 min 57 sec) 
Heartbeat CPU  1 instructions:   17000000 cycles:    7664662 heartbeat IPC: 2.29687 cumulative IPC: 2.21797 (Simulation time: 0 hr 1 min 57 sec) 
Heartbeat CPU  3 instructions:   20000000 cycles:    7875249 heartbeat IPC: 2.56508 cumulative IPC: 2.53960 (Simulation time: 0 hr 2 min 0 sec) 
Heartbeat CPU  0 instructions:   18000003 cycles:    7977565 heartbeat IPC: 2.35500 cumulative IPC: 2.25633 (Simulation time: 0 hr 2 min 2 sec) 
Heartbeat CPU  2 instructions:   18000003 cycles:    8065410 heartbeat IPC: 2.35045 cumulative IPC: 2.23175 (Simulation time: 0 hr 2 min 3 sec) 
Heartbeat CPU  1 instructions:   18000000 cycles:    8098512 heartbeat IPC: 2.30494 cumulative IPC: 2.22263 (Simulation time: 0 hr 2 min 3 sec) 
Heartbeat CPU  3 instructions:   21000001 cycles:    8273031 heartbeat IPC: 2.51394 cumulative IPC: 2.53837 (Simulation time: 0 hr 2 min 6 sec) 
Heartbeat CPU  0 instructions:   19000001 cycles:    8393472 heartbeat IPC: 2.40438 cumulative IPC: 2.26366 (Simulation time: 0 hr 2 min 8 sec) 
Heartbeat CPU  2 instructions:   19000000 cycles:    8517295 heartbeat IPC: 2.21295 cumulative IPC: 2.23076 (Simulation time: 0 hr 2 min 10 sec) 
Heartbeat CPU  1 instructions:   19000001 cycles:    8565408 heartbeat IPC: 2.14181 cumulative IPC: 2.21822 (Simulation time: 0 hr 2 min 10 sec) 
Heartbeat CPU  3 instructions:   22000001 cycles:    8666060 heartbeat IPC: 2.54434 cumulative IPC: 2.53864 (Simulation time: 0 hr 2 min 12 sec) 
Heartbeat CPU  2 instructions:   20000000 cycles:    8940501 heartbeat IPC: 2.36292 cumulative IPC: 2.23701 (Simulation time: 0 hr 2 min 16 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:    8948244 heartbeat IPC: 1.80254 cumulative IPC: 2.23508 (Simulation time: 0 hr 2 min 16 sec) 
Heartbeat CPU  1 instructions:   20000000 cycles:    9013042 heartbeat IPC: 2.23397 cumulative IPC: 2.21901 (Simulation time: 0 hr 2 min 17 sec) 
Heartbeat CPU  3 instructions:   23000000 cycles:    9056652 heartbeat IPC: 2.56021 cumulative IPC: 2.53957 (Simulation time: 0 hr 2 min 17 sec) 
Heartbeat CPU  0 instructions:   21000001 cycles:    9416144 heartbeat IPC: 2.13721 cumulative IPC: 2.23021 (Simulation time: 0 hr 2 min 23 sec) 
Heartbeat CPU  2 instructions:   21000000 cycles:    9434443 heartbeat IPC: 2.02453 cumulative IPC: 2.22589 (Simulation time: 0 hr 2 min 23 sec) 
Heartbeat CPU  3 instructions:   24000000 cycles:    9445037 heartbeat IPC: 2.57476 cumulative IPC: 2.54102 (Simulation time: 0 hr 2 min 23 sec) 
Heartbeat CPU  1 instructions:   21000000 cycles:    9447444 heartbeat IPC: 2.30202 cumulative IPC: 2.22282 (Simulation time: 0 hr 2 min 23 sec) 
Heartbeat CPU  3 instructions:   25000000 cycles:    9834248 heartbeat IPC: 2.56930 cumulative IPC: 2.54214 (Simulation time: 0 hr 2 min 30 sec) 
Heartbeat CPU  0 instructions:   22000003 cycles:    9840745 heartbeat IPC: 2.35516 cumulative IPC: 2.23560 (Simulation time: 0 hr 2 min 30 sec) 
Heartbeat CPU  2 instructions:   22000003 cycles:    9852825 heartbeat IPC: 2.39017 cumulative IPC: 2.23286 (Simulation time: 0 hr 2 min 30 sec) 
Heartbeat CPU  1 instructions:   22000002 cycles:    9895364 heartbeat IPC: 2.23255 cumulative IPC: 2.22326 (Simulation time: 0 hr 2 min 31 sec) 
Heartbeat CPU  3 instructions:   26000000 cycles:   10225842 heartbeat IPC: 2.55367 cumulative IPC: 2.54258 (Simulation time: 0 hr 2 min 36 sec) 
Heartbeat CPU  0 instructions:   23000001 cycles:   10263640 heartbeat IPC: 2.36465 cumulative IPC: 2.24092 (Simulation time: 0 hr 2 min 37 sec) 
Heartbeat CPU  2 instructions:   23000002 cycles:   10274148 heartbeat IPC: 2.37347 cumulative IPC: 2.23863 (Simulation time: 0 hr 2 min 37 sec) 
Heartbeat CPU  1 instructions:   23000001 cycles:   10341078 heartbeat IPC: 2.24359 cumulative IPC: 2.22414 (Simulation time: 0 hr 2 min 38 sec) 
Heartbeat CPU  3 instructions:   27000000 cycles:   10618490 heartbeat IPC: 2.54681 cumulative IPC: 2.54273 (Simulation time: 0 hr 2 min 42 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   10678048 heartbeat IPC: 2.41308 cumulative IPC: 2.24760 (Simulation time: 0 hr 2 min 43 sec) 
Heartbeat CPU  2 instructions:   24000000 cycles:   10696359 heartbeat IPC: 2.36848 cumulative IPC: 2.24375 (Simulation time: 0 hr 2 min 44 sec) 
Heartbeat CPU  1 instructions:   24000000 cycles:   10771514 heartbeat IPC: 2.32322 cumulative IPC: 2.22810 (Simulation time: 0 hr 2 min 45 sec) 
Heartbeat CPU  3 instructions:   28000000 cycles:   11010494 heartbeat IPC: 2.55099 cumulative IPC: 2.54303 (Simulation time: 0 hr 2 min 49 sec) 
Heartbeat CPU  0 instructions:   25000003 cycles:   11068483 heartbeat IPC: 2.56125 cumulative IPC: 2.25867 (Simulation time: 0 hr 2 min 49 sec) 
Heartbeat CPU  2 instructions:   25000003 cycles:   11112570 heartbeat IPC: 2.40263 cumulative IPC: 2.24970 (Simulation time: 0 hr 2 min 50 sec) 
Heartbeat CPU  1 instructions:   25000002 cycles:   11266880 heartbeat IPC: 2.01871 cumulative IPC: 2.21889 (Simulation time: 0 hr 2 min 52 sec) 
Heartbeat CPU  3 instructions:   29000003 cycles:   11403563 heartbeat IPC: 2.54409 cumulative IPC: 2.54307 (Simulation time: 0 hr 2 min 54 sec) 
Heartbeat CPU  0 instructions:   26000001 cycles:   11457329 heartbeat IPC: 2.57171 cumulative IPC: 2.26929 (Simulation time: 0 hr 2 min 55 sec) 
Heartbeat CPU  1 instructions:   26000000 cycles:   11694487 heartbeat IPC: 2.33859 cumulative IPC: 2.22327 (Simulation time: 0 hr 2 min 59 sec) 
Heartbeat CPU  2 instructions:   26000000 cycles:   11694808 heartbeat IPC: 1.71751 cumulative IPC: 2.22321 (Simulation time: 0 hr 2 min 59 sec) 
Heartbeat CPU  3 instructions:   30000001 cycles:   11794723 heartbeat IPC: 2.55649 cumulative IPC: 2.54351 (Simulation time: 0 hr 3 min 1 sec) 
Heartbeat CPU  0 instructions:   27000000 cycles:   11862638 heartbeat IPC: 2.46725 cumulative IPC: 2.27605 (Simulation time: 0 hr 3 min 2 sec) 
Heartbeat CPU  1 instructions:   27000001 cycles:   12116864 heartbeat IPC: 2.36756 cumulative IPC: 2.22830 (Simulation time: 0 hr 3 min 6 sec) 
Heartbeat CPU  2 instructions:   27000003 cycles:   12126436 heartbeat IPC: 2.31682 cumulative IPC: 2.22654 (Simulation time: 0 hr 3 min 6 sec) 
Heartbeat CPU  3 instructions:   31000000 cycles:   12186920 heartbeat IPC: 2.54974 cumulative IPC: 2.54371 (Simulation time: 0 hr 3 min 7 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   12273719 heartbeat IPC: 2.43261 cumulative IPC: 2.28130 (Simulation time: 0 hr 3 min 8 sec) 
Heartbeat CPU  1 instructions:   28000000 cycles:   12538047 heartbeat IPC: 2.37426 cumulative IPC: 2.23320 (Simulation time: 0 hr 3 min 13 sec) 
Heartbeat CPU  2 instructions:   28000000 cycles:   12550176 heartbeat IPC: 2.35993 cumulative IPC: 2.23104 (Simulation time: 0 hr 3 min 13 sec) 
Heartbeat CPU  3 instructions:   32000000 cycles:   12579257 heartbeat IPC: 2.54883 cumulative IPC: 2.54387 (Simulation time: 0 hr 3 min 13 sec) 
Heartbeat CPU  0 instructions:   29000002 cycles:   12725807 heartbeat IPC: 2.21196 cumulative IPC: 2.27883 (Simulation time: 0 hr 3 min 16 sec) 
Heartbeat CPU  1 instructions:   29000001 cycles:   12964085 heartbeat IPC: 2.34721 cumulative IPC: 2.23695 (Simulation time: 0 hr 3 min 19 sec) 
Heartbeat CPU  3 instructions:   33000002 cycles:   12972596 heartbeat IPC: 2.54234 cumulative IPC: 2.54382 (Simulation time: 0 hr 3 min 19 sec) 
Heartbeat CPU  2 instructions:   29000001 cycles:   12998470 heartbeat IPC: 2.23068 cumulative IPC: 2.23103 (Simulation time: 0 hr 3 min 20 sec) 
Heartbeat CPU  0 instructions:   30000000 cycles:   13179882 heartbeat IPC: 2.20228 cumulative IPC: 2.27620 (Simulation time: 0 hr 3 min 22 sec) 
Heartbeat CPU  3 instructions:   34000003 cycles:   13359847 heartbeat IPC: 2.58231 cumulative IPC: 2.54494 (Simulation time: 0 hr 3 min 25 sec) 
Heartbeat CPU  2 instructions:   30000000 cycles:   13466295 heartbeat IPC: 2.13755 cumulative IPC: 2.22778 (Simulation time: 0 hr 3 min 26 sec) 
Heartbeat CPU  1 instructions:   30000001 cycles:   13548438 heartbeat IPC: 1.71129 cumulative IPC: 2.21428 (Simulation time: 0 hr 3 min 27 sec) 
Heartbeat CPU  0 instructions:   31000002 cycles:   13634666 heartbeat IPC: 2.19885 cumulative IPC: 2.27362 (Simulation time: 0 hr 3 min 29 sec) 
Heartbeat CPU  3 instructions:   35000002 cycles:   13749788 heartbeat IPC: 2.56449 cumulative IPC: 2.54549 (Simulation time: 0 hr 3 min 30 sec) 
Heartbeat CPU  2 instructions:   31000001 cycles:   13890599 heartbeat IPC: 2.35680 cumulative IPC: 2.23173 (Simulation time: 0 hr 3 min 33 sec) 
Heartbeat CPU  1 instructions:   31000001 cycles:   13982233 heartbeat IPC: 2.30524 cumulative IPC: 2.21710 (Simulation time: 0 hr 3 min 34 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   14086190 heartbeat IPC: 2.21472 cumulative IPC: 2.27173 (Simulation time: 0 hr 3 min 36 sec) 
Heartbeat CPU  3 instructions:   36000000 cycles:   14141172 heartbeat IPC: 2.55503 cumulative IPC: 2.54576 (Simulation time: 0 hr 3 min 36 sec) 
Heartbeat CPU  2 instructions:   32000000 cycles:   14334901 heartbeat IPC: 2.25072 cumulative IPC: 2.23231 (Simulation time: 0 hr 3 min 39 sec) 
Heartbeat CPU  1 instructions:   32000000 cycles:   14416750 heartbeat IPC: 2.30140 cumulative IPC: 2.21964 (Simulation time: 0 hr 3 min 41 sec) 
Heartbeat CPU  0 instructions:   33000000 cycles:   14533850 heartbeat IPC: 2.23384 cumulative IPC: 2.27056 (Simulation time: 0 hr 3 min 43 sec) 
Heartbeat CPU  3 instructions:   37000001 cycles:   14535433 heartbeat IPC: 2.53639 cumulative IPC: 2.54550 (Simulation time: 0 hr 3 min 43 sec) 
Heartbeat CPU  2 instructions:   33000001 cycles:   14785526 heartbeat IPC: 2.21914 cumulative IPC: 2.23191 (Simulation time: 0 hr 3 min 47 sec) 
Heartbeat CPU  1 instructions:   33000001 cycles:   14856810 heartbeat IPC: 2.27242 cumulative IPC: 2.22120 (Simulation time: 0 hr 3 min 48 sec) 
Heartbeat CPU  3 instructions:   38000002 cycles:   14928975 heartbeat IPC: 2.54103 cumulative IPC: 2.54539 (Simulation time: 0 hr 3 min 49 sec) 
Heartbeat CPU  0 instructions:   34000000 cycles:   14980083 heartbeat IPC: 2.24098 cumulative IPC: 2.26968 (Simulation time: 0 hr 3 min 50 sec) 
Heartbeat CPU  2 instructions:   34000000 cycles:   15208166 heartbeat IPC: 2.36608 cumulative IPC: 2.23564 (Simulation time: 0 hr 3 min 53 sec) 
Heartbeat CPU  3 instructions:   39000002 cycles:   15322026 heartbeat IPC: 2.54420 cumulative IPC: 2.54536 (Simulation time: 0 hr 3 min 55 sec) 
Heartbeat CPU  1 instructions:   34000000 cycles:   15324265 heartbeat IPC: 2.13924 cumulative IPC: 2.21870 (Simulation time: 0 hr 3 min 55 sec) 
Heartbeat CPU  0 instructions:   35000003 cycles:   15425210 heartbeat IPC: 2.24656 cumulative IPC: 2.26901 (Simulation time: 0 hr 3 min 56 sec) 
Heartbeat CPU  2 instructions:   35000000 cycles:   15628854 heartbeat IPC: 2.37706 cumulative IPC: 2.23945 (Simulation time: 0 hr 4 min 0 sec) 
Heartbeat CPU  3 instructions:   40000000 cycles:   15715490 heartbeat IPC: 2.54152 cumulative IPC: 2.54526 (Simulation time: 0 hr 4 min 1 sec) 
Heartbeat CPU  1 instructions:   35000001 cycles:   15755466 heartbeat IPC: 2.31911 cumulative IPC: 2.22145 (Simulation time: 0 hr 4 min 1 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   15880274 heartbeat IPC: 2.19749 cumulative IPC: 2.26696 (Simulation time: 0 hr 4 min 3 sec) 
Heartbeat CPU  3 instructions:   41000000 cycles:   16107015 heartbeat IPC: 2.55412 cumulative IPC: 2.54547 (Simulation time: 0 hr 4 min 7 sec) 
