*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Mar 31 2025 20:14:32
*************************************************
parsing config file: /data3/config/bingo.ini

trace_0 /data3/CASSANDRA/traces/cassandra_phase5_core0.trace.xz
trace_1 /data3/CASSANDRA/traces/cassandra_phase5_core1.trace.xz
trace_2 /data3/CASSANDRA/traces/cassandra_phase5_core2.trace.xz
trace_3 /data3/CASSANDRA/traces/cassandra_phase5_core3.trace.xz
adding L2C_PREFETCHER: Bingo
adding L2C_PREFETCHER: Bingo
adding L2C_PREFETCHER: Bingo
adding L2C_PREFETCHER: Bingo
Initialize SHIP state
warmup_instructions 50000000
simulation_instructions 150000000
champsim_seed 8762
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 4
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 2
log2_dram_channels 1
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 8192
dram_pages 2097152

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 8192
llc_set 8192
llc_way 16
llc_rq_size 128
llc_wq_size 128
llc_pq_size 128
llc_mshr_size 256
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13

bingo_region_size 2048
bingo_pattern_len 32
bingo_pc_width 16
bingo_min_addr_width 5
bingo_max_addr_width 16
bingo_ft_size 64
bingo_at_size 128
bingo_pht_size 4096
bingo_pht_ways 16
bingo_pf_streamer_size 128
bingo_debug_level 0
bingo_l1d_thresh 1.01
bingo_l2c_thresh 0.8
bingo_llc_thresh 0.05
bingo_pc_address_fill_level L2


Heartbeat CPU  1 instructions:    1000001 cycles:     371894 heartbeat IPC: 2.68894 cumulative IPC: 2.68894 (Simulation time: 0 hr 0 min 6 sec) 
Heartbeat CPU  3 instructions:    1000002 cycles:     395042 heartbeat IPC: 2.53138 cumulative IPC: 2.53138 (Simulation time: 0 hr 0 min 6 sec) 
Heartbeat CPU  2 instructions:    1000000 cycles:     466845 heartbeat IPC: 2.14204 cumulative IPC: 2.14204 (Simulation time: 0 hr 0 min 7 sec) 
Heartbeat CPU  0 instructions:    1000003 cycles:     522647 heartbeat IPC: 1.91334 cumulative IPC: 1.91334 (Simulation time: 0 hr 0 min 8 sec) 
Heartbeat CPU  1 instructions:    2000003 cycles:     683873 heartbeat IPC: 3.20535 cumulative IPC: 2.92452 (Simulation time: 0 hr 0 min 11 sec) 
Heartbeat CPU  3 instructions:    2000003 cycles:     724874 heartbeat IPC: 3.03185 cumulative IPC: 2.75910 (Simulation time: 0 hr 0 min 11 sec) 
Heartbeat CPU  0 instructions:    2000000 cycles:     874548 heartbeat IPC: 2.84170 cumulative IPC: 2.28690 (Simulation time: 0 hr 0 min 14 sec) 
Heartbeat CPU  2 instructions:    2000001 cycles:     939587 heartbeat IPC: 2.11532 cumulative IPC: 2.12860 (Simulation time: 0 hr 0 min 15 sec) 
Heartbeat CPU  1 instructions:    3000000 cycles:    1034785 heartbeat IPC: 2.84971 cumulative IPC: 2.89915 (Simulation time: 0 hr 0 min 16 sec) 
Heartbeat CPU  3 instructions:    3000003 cycles:    1093499 heartbeat IPC: 2.71278 cumulative IPC: 2.74349 (Simulation time: 0 hr 0 min 17 sec) 
Heartbeat CPU  0 instructions:    3000001 cycles:    1199852 heartbeat IPC: 3.07405 cumulative IPC: 2.50031 (Simulation time: 0 hr 0 min 19 sec) 
Heartbeat CPU  1 instructions:    4000000 cycles:    1359756 heartbeat IPC: 3.07720 cumulative IPC: 2.94170 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  2 instructions:    3000002 cycles:    1377925 heartbeat IPC: 2.28135 cumulative IPC: 2.17719 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  3 instructions:    4000000 cycles:    1423416 heartbeat IPC: 3.03106 cumulative IPC: 2.81014 (Simulation time: 0 hr 0 min 23 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    1528491 heartbeat IPC: 3.04285 cumulative IPC: 2.61696 (Simulation time: 0 hr 0 min 25 sec) 
Heartbeat CPU  1 instructions:    5000003 cycles:    1684324 heartbeat IPC: 3.08103 cumulative IPC: 2.96855 (Simulation time: 0 hr 0 min 28 sec) 
Heartbeat CPU  2 instructions:    4000000 cycles:    1705501 heartbeat IPC: 3.05272 cumulative IPC: 2.34535 (Simulation time: 0 hr 0 min 28 sec) 
Heartbeat CPU  0 instructions:    5000003 cycles:    1900943 heartbeat IPC: 2.68492 cumulative IPC: 2.63028 (Simulation time: 0 hr 0 min 31 sec) 
Heartbeat CPU  3 instructions:    5000001 cycles:    1933072 heartbeat IPC: 1.96211 cumulative IPC: 2.58656 (Simulation time: 0 hr 0 min 32 sec) 
Heartbeat CPU  1 instructions:    6000003 cycles:    2019969 heartbeat IPC: 2.97934 cumulative IPC: 2.97034 (Simulation time: 0 hr 0 min 33 sec) 
Heartbeat CPU  2 instructions:    5000003 cycles:    2090316 heartbeat IPC: 2.59866 cumulative IPC: 2.39198 (Simulation time: 0 hr 0 min 34 sec) 
Heartbeat CPU  0 instructions:    6000001 cycles:    2229722 heartbeat IPC: 3.04155 cumulative IPC: 2.69092 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  3 instructions:    6000003 cycles:    2256624 heartbeat IPC: 3.09070 cumulative IPC: 2.65884 (Simulation time: 0 hr 0 min 37 sec) 
Heartbeat CPU  2 instructions:    6000002 cycles:    2461380 heartbeat IPC: 2.69495 cumulative IPC: 2.43766 (Simulation time: 0 hr 0 min 40 sec) 
Heartbeat CPU  1 instructions:    7000003 cycles:    2539969 heartbeat IPC: 1.92308 cumulative IPC: 2.75594 (Simulation time: 0 hr 0 min 41 sec) 
